"","Site","Zone","Easting","Northing","Lat","Long","Elevation","Species.Tent","Unique.Site","Wet.Mass.Pre.Analysis..grams.","Notes","Cleaned","Distance.to.Edge","Distance.to.Cent.EV","Cent_Elkview","Cent_Line_Creek","Cent_Line_Creek_Processing_Plant","Elkview_Azimuth","LineCreek_Azimuth","LineCreekProp_Azimuth","Au","Ag","Al","As","B","Ba","Be","Bi","Ca","Cd","Ce","Co","Cr","Cs","Cu","Fe","Ga","Ge","Hf","Hg","In","K","La","Li","Mg","Mn","Mo","Na","Nb","Ni","P","Pb","Pd","Pt","Rb","Re","S","Sb","Sc","Se","Sn","Sr","Ta","Te","Th","Ti","Tl","U","V","W","Y","Zn","Zr"
"2",2,"11U",659292,5523583,-114.784425489695,49.8434822992811,1522,"Hylocomium splendins",2,54,NA,"y",5746,11392.77,11343.1007287708,12119.7536177746,6301.43754,"12.573526870687401","185.62425618882699","130.26347476389401",0.0833333333333333,3.08333333333333,1.16666666666667,2,0.222222222222222,2.55142857142857,2.88888888888889,1.3921568627451,0.386473429951691,0.766137566137566,1.36638237384506,3.32615384615385,1.21283255086072,2,1.40416666666667,1.5771144278607,1.47257383966245,3.11904761904762,2.13888888888889,1.62162162162162,Inf,0.745614035087719,1.36147186147186,0.75,0.861386138613861,1.03134996801024,0.33130081300813,NA,1.68,3.49122807017544,0.614035087719298,1.82,NA,Inf,1.88405797101449,Inf,0.944444444444444,2.4,2.43333333333333,5.13120567375887,0.8,1.28193146417446,1,Inf,2.7047619047619,0.5,1.79365079365079,3.9375,3.42369477911647,0.288888888888889,2.71117166212534,1.17171717171717,2.20754716981132
"5",5,"11U",658413,5521398,-114.797534309353,49.824077221152,1489,"Hylocomium splendins",3,45,NA,"y",3451,9147.862,9042.2404776345,14378.3386892728,7334.13679,"9.7225003456663206","188.52530914137699","148.17801312715201",0.111111111111111,2.4,1,2.09677419354839,1.33333333333333,1.58857142857143,2.33333333333333,1,1.11594202898551,0.644444444444444,1.25799573560768,2.19692307692308,0.882629107981221,1.48809523809524,1.159375,1.3134328358209,1.25949367088608,2.14285714285714,1.41666666666667,1.32432432432432,NA,1.02631578947368,1.41125541125541,0.75,1.33663366336634,0.980806142034549,0.347560975609756,NA,1.16,2.375,0.953947368421053,1.14,NA,Inf,1.1195652173913,Inf,1,1.7,1.4,3.74468085106383,0.6,0.957943925233645,1,Inf,1.82857142857143,0.5,1.14285714285714,2.78125,2.42771084337349,0.2,2.69754768392371,0.666666666666667,1.67924528301887
"7",7,"11U",655505,5524230,-114.836798679935,49.850291921728,1283,"Hylocomium splendins",5,13,NA,"y",5573,12243.97,11899.0299393463,12340.0165522546,3476.85565,"353.739269101731","203.67039648490601","162.573660720898",0.157407407407407,2.71666666666667,0.888888888888889,2.13978494623656,2.55555555555556,2.45142857142857,2.11111111111111,1.03921568627451,0.908212560386474,0.853968253968254,1.24378109452736,2.49333333333333,1.06259780907668,1.29365079365079,1.15625,1.39303482587065,1.05907172995781,2.33333333333333,1.52777777777778,1.30630630630631,NA,1.28070175438596,1.26190476190476,1.16666666666667,1.89108910891089,1.90339091490723,0.508130081300813,NA,1.06666666666667,2.39912280701754,1.00438596491228,1.31666666666667,NA,Inf,1.45289855072464,Inf,1.33333333333333,1.93333333333333,2.16666666666667,3.45744680851064,0.733333333333333,1.28504672897196,0.833333333333333,NA,3.12380952380952,0.5,1.19047619047619,3.09375,2.17068273092369,0.244444444444444,2.37965485921889,1.33044733044733,1.67295597484277
"10",10,"11U",652207,5525608,-114.882101554613,49.8635243319182,1206,"Pleurozium schreberi",6,42,NA,"y",7856,14580.13,14059.7459484472,12804.5643404054,2883.79245,"341.09876988699602","219.88002087260099","230.22101757147101",0.111111111111111,1.3,1,1.09677419354839,2,1.23428571428571,1.66666666666667,0.705882352941176,1,0.434920634920635,1.0138592750533,1.19076923076923,0.92018779342723,1.01190476190476,0.809375,1.119403,1.03164556962025,0.928571428571428,1.25,1,NA,1.36842105263158,1.01298701298701,1,1.40594059405941,1.71017274472169,0.170731707317073,NA,0.9,1.23026315789474,1.01315789473684,0.96,NA,Inf,1.60869565217391,NA,1,1,1.3,1.5531914893617,0.6,1.22429906542056,0.5,NA,1.71428571428571,0.5,0.619047619047619,1.375,1.24096385542169,0.333333333333333,1.18801089918256,1.67532467532468,1.11320754716981
"11",11,"11U",652195,5525643,-114.882254651035,49.8638419652567,1205,"Hylocomium splendins",7,45,"Photograph this specimen; ID unsure","y",7892,14617.01,14096.7350214969,12784.5011396287,2869.83674,"341.10308599718098","220.01926070366201","230.90359404384699",0.111111111111111,2.05,4.83333333333333,3.41935483870968,3,2.13428571428571,6,2.29411764705882,1.47826086956522,0.692063492063492,5.3411513859275,4.61538461538461,2.51173708920188,3.14285714285714,1.415625,5.164179,4.56329113924051,1.71428571428571,3.66666666666667,0.918918918918919,NA,0.81578947368421,5.3030303030303,7.25,1.69306930693069,2.7447216890595,1.53658536585366,NA,2.86,3.70394736842105,1.01973684210526,2.42,Inf,NA,1.83152173913043,NA,0.666666666666667,1.2,3.6,2.26595744680851,1,1.5981308411215,0.5,Inf,5.82857142857143,1,2.42857142857143,4.0625,3.92168674698795,0.933333333333333,6.32152588555858,1.34199134199134,3.88679245283019
"12",12,"11U",652824,5517035,-114.87689901877,49.7863119397279,1150,"Pleurozium schreberi",8,27,NA,"y",2331,7091.59,6304.52655186618,20017.4297334112,10595.172,"318.38367129636998","203.08417030271701","190.029077014607",0.0555555555555556,2.15,0.833333333333333,1.25806451612903,1.66666666666667,2.23428571428571,2,1.35294117647059,0.855072463768116,0.66031746031746,1.07142857142857,1.64923076923077,0.708920187793427,1.14285714285714,1.36875,1.52238805970149,1.08860759493671,1.64285714285714,1.41666666666667,1.24324324324324,NA,1.28947368421053,1.06277056277056,1,1.62376237623762,1.31285988483685,0.304878048780488,NA,1.06,1.61184210526316,1.00657894736842,1.44,NA,NA,1.22282608695652,NA,1.33333333333333,2.1,1.4,3.5531914893617,0.8,1.57476635514019,1,NA,1.14285714285714,0.5,1,2.5625,1.91566265060241,0.6,1.82016348773842,2.04329004329004,1.47169811320755
"13",13,"11U",652791,5514894,-114.878197933867,49.7670765452784,1139,"Hylocomium splendins",9,75,NA,"y",2177,5895.89,4996.34024589267,22036.1185169728,12721.3986,"301.00851059513099","201.13413554770099","188.76919368290899",0.138888888888889,1.9,0.777777777777778,1.38709677419355,0.555555555555556,1.62285714285714,2.11111111111111,1.37254901960784,0.623188405797101,0.466666666666667,1.03233830845771,1.71179487179487,1.15962441314554,1.16666666666667,1.28541666666667,1.60199004975124,1.16877637130802,2.9047619047619,1.80555555555556,1.27927927927928,NA,0.807017543859649,1.03823953823954,0.666666666666667,1.03960396039604,1.3064619321817,0.436991869918699,Inf,1.28666666666667,1.80701754385965,0.695175438596491,1.57666666666667,Inf,Inf,1.25,Inf,0.944444444444444,3.53333333333333,2.03333333333333,3.59574468085106,1.06666666666667,1.28816199376947,1,NA,1.86666666666667,0.5,1.47619047619048,2.67708333333333,2.18473895582329,0.755555555555556,1.68846503178928,1.27272727272727,1.91823899371069
"16",16,"11U",650515,5512792,-114.910594620263,49.7487571612563,1274,"Pleurozium schreberi",10,11,NA,"y",4441,7568.65,6640.6052221989,24818.0858272764,15221.5479,"274.65334544341903","204.47735001854301","196.310871393323",0.111111111111111,2.05,0.833333333333333,1.12903225806452,0.333333333333333,3.08571428571429,1.33333333333333,1.11764705882353,0.811594202898551,0.577777777777778,0.891257995735608,1.28923076923077,0.737089201877934,1.17857142857143,1.184375,1.05970149253731,0.829113924050633,1.14285714285714,1.41666666666667,1.62162162162162,NA,1.39473684210526,0.88961038961039,0.75,1.34653465346535,1.72168905950096,0.26219512195122,NA,1,1.18421052631579,1.13157894736842,1.35,NA,Inf,2.21195652173913,NA,1.16666666666667,1.1,1.3,2.17021276595745,1,0.967289719626168,1,NA,1.94285714285714,1,0.952380952380952,1.6875,1.36144578313253,0.466666666666667,1.09264305177112,1.34632034632035,1.30188679245283
"17",17,"11U",650899,5509409,-114.906576732204,49.7182529860383,1166,"Pleurozium schreberi",11,17,NA,"y",5087,7711.29,6946.65819097108,27838.8301503554,18438.3461,"245.73838937143901","201.05099527714199","192.49077485458301",0.0555555555555556,1.7,1,1.54838709677419,1,1.83714285714286,1.66666666666667,1.17647058823529,0.898550724637681,0.587301587301587,1.10874200426439,1.22461538461538,1.25352112676056,1.32142857142857,0.8875,1.26865671641791,1.07594936708861,1.35714285714286,1.33333333333333,1.27027027027027,NA,0.894736842105263,1.14502164502165,0.75,1.27722772277228,1.75047984644914,0.213414634146341,NA,1.16,1.39473684210526,0.769736842105263,1.52,NA,NA,2.46195652173913,NA,0.833333333333333,1.7,1.4,2.26595744680851,1,1.18224299065421,1,NA,1.71428571428571,0.5,1.57142857142857,2.0625,1.7289156626506,0.666666666666667,1.4550408719346,1.7012987012987,1.45283018867925
"19",19,"11U",659341,5504370,-114.791604425966,49.6707882033344,1364,"Pleurozium schreberi",12,16,NA,"y",1540,7991.08,8369.64391496622,31315.7980029837,23675.9912,"166.457543513882","183.13060519500601","169.51769915570401",0.111111111111111,2.15,0.833333333333333,1.80645161290323,0.666666666666667,1.80285714285714,1.33333333333333,0.823529411764706,0.63768115942029,0.914285714285714,0.814498933901919,1.18769230769231,0.699530516431925,1.08333333333333,0.990625,1.01492537313433,0.886075949367089,1.21428571428571,1.16666666666667,2.13513513513514,Inf,1.10526315789474,0.803030303030303,0.75,0.99009900990099,4.01151631477927,0.158536585365854,NA,0.86,1.19078947368421,0.914473684210526,1.15,NA,Inf,1.3695652173913,NA,1.16666666666667,1.1,1.2,2,0.6,1.04205607476636,0.5,NA,1.28571428571429,0.5,1.52380952380952,1.59375,1.33132530120482,0.4,1.05177111716621,1.35064935064935,1.07547169811321
"20",20,"11U",664908,5519897,-114.707944738123,49.8088370589558,1692,"Pleurozium schreberi",13,19,NA,"y",7187,10257.56,10760.5531100858,16488.2747594494,13005.4144,"47.836926430666402","164.82384177426499","127.506485324579",0.194444444444444,4.25,1.16666666666667,1.70967741935484,0.333333333333333,3.04285714285714,2.66666666666667,1.47058823529412,0.652173913043478,0.955555555555555,1.30597014925373,2.47384615384615,1.12206572769953,2.11904761904762,1.478125,1.56716417910448,1.44303797468354,3.35714285714286,1.75,2.45945945945946,NA,1.57894736842105,1.35497835497835,0.75,1.41584158415842,3.03262955854127,0.329268292682927,NA,1.74,2.86184210526316,1.09210526315789,1.88,NA,NA,6.08695652173913,NA,1.33333333333333,2.4,2.1,5.90425531914894,0.8,1.18224299065421,1,Inf,2.22857142857143,0.5,2.57142857142857,4.0625,3.4578313253012,0.2,2.24523160762943,1.31168831168831,1.9811320754717
"21",21,"11U",664880,5517349,-114.709414598973,49.7859454405357,1635,"Pleurozium schreberi",14,21,NA,"y",6245,8508.37,9158.1464833257,18934.0387049054,14624.5161,"59.292415767382998","167.144742454202","135.68891816746",0.222222222222222,3.35,0.833333333333333,1.38709677419355,1.33333333333333,3.11428571428571,2,1,0.884057971014493,0.863492063492064,0.963752665245203,1.79076923076923,0.948356807511737,2.63095238095238,1.6625,1.13432835820896,1.03164556962025,2.57142857142857,1.58333333333333,2.64864864864865,NA,1.89473684210526,0.978354978354978,0.75,2.06930693069307,7.58157389635317,0.25,NA,1.14,2.15789473684211,1.45394736842105,1.4,NA,NA,6.76630434782609,NA,1.5,1.8,2.2,4.09574468085106,0.8,1.05607476635514,0.5,NA,2.4,0.5,4,3.125,2.46987951807229,0.2,1.65395095367847,1.35930735930736,1.69811320754717
"22",22,"11U",664273,5514984,-114.71883869339,49.7648568850492,1510,"Pleurozium schreberi",15,10,NA,"y",4709,6781.79,7566.2375019835,21103.7720031776,15974.1778,"72.063209880123395","170.35584557299299","143.32272498820399",0.194444444444444,3.225,0.916666666666667,1.48387096774194,1.33333333333333,3.29142857142857,1.83333333333333,1.11764705882353,1.08695652173913,0.86031746031746,1.09488272921109,1.91692307692308,0.842723004694836,1.45833333333333,1.4640625,1.16417910447761,1.13607594936709,2.35714285714286,1.5,2.54054054054054,NA,1.67105263157895,1.08549783549784,0.875,1.83168316831683,2.36084452975048,0.246951219512195,NA,1.29,2.04934210526316,1.45065789473684,1.585,NA,NA,2.1929347826087,Inf,1.83333333333333,1.6,1.95,4.73404255319149,0.9,1.5911214953271,0.75,NA,2.51428571428571,0.75,1.57142857142857,2.796875,2.28012048192771,0.2,1.7983651226158,1.6991341991342,1.68867924528302
"24",24,"11U",665455,5509715,-114.704674993766,49.7171789889647,1446,"Pleurozium schreberi",16,27,NA,"y",4490,7816.79,8747.10178589273,26502.981478582,20972.2705,"109.85806824443701","170.091782520306","149.72789829564101",0.138888888888889,2.2,1,1.03225806451613,0,1.16571428571429,1.66666666666667,1.17647058823529,0.463768115942029,0.647619047619048,0.909381663113006,1.30153846153846,0.723004694835681,1.08333333333333,0.840625,1.04477611940298,1.03164556962025,1,0.916666666666667,1.27027027027027,NA,0.947368421052632,0.913419913419913,0.75,0.910891089108911,2.62955854126679,0.128048780487805,NA,1.1,1.375,0.513157894736842,2.14,NA,NA,2.375,NA,0.833333333333333,1.1,1.2,2.17021276595745,0.6,0.701869158878505,0.5,NA,1.08571428571429,0.5,1.0952380952381,1.78125,1.55421686746988,0.266666666666667,1.16348773841962,0.974025974025974,0.943396226415094
"25",25,"11U",664197,5501871,-114.725405248283,49.6470258769332,1366,"Hylocomium splendins",17,23,NA,"y",5519,12063.18,12711.1321764105,34050.0329704246,27465.8043,"147.96903681974899","174.82740604414201","160.67228213160399",0.185185185185185,1.21666666666667,1.05555555555556,1.03225806451613,0.666666666666667,1.41428571428571,1.33333333333333,0.784313725490196,0.753623188405797,0.343915343915344,1.06289978678038,1.18666666666667,0.938967136150235,1.03968253968254,0.789583333333333,1.17910447761194,1.01054852320675,1.19047619047619,1.11111111111111,1.07207207207207,NA,1,0.992063492063492,1.25,0.861386138613861,2.19065898912348,0.144308943089431,Inf,0.706666666666667,1.16666666666667,0.642543859649123,0.96,NA,Inf,1.19021739130435,NA,0.888888888888889,0.9,1.73333333333333,1.32978723404255,0.666666666666667,1.04018691588785,0.5,NA,2.27619047619048,0.5,0.825396825396825,1.38541666666667,1.17068273092369,0.333333333333333,1.4550408719346,0.904761904761905,1.0125786163522
"28",28,"11U",649145,5499365,-114.934721336556,49.6284075487678,1066,"Pleurozium schreberi",18,10,NA,"y",12167,15678.72,15335.4094310611,37934.8219786205,28634.7117,"213.11544540088499","198.523262116528","192.15371800765601",0.166666666666667,1.1,0.833333333333333,0.935483870967742,2.33333333333333,1.59142857142857,1,0.823529411764706,1.02898550724638,1.44126984126984,0.890191897654584,1.11076923076923,0.821596244131455,0.880952380952381,0.95,1.05970149253731,0.810126582278481,1.07142857142857,1.16666666666667,0.837837837837838,NA,1.18421052631579,0.878787878787879,1,1.67326732673267,0.980806142034549,1.24390243902439,Inf,0.78,1.06578947368421,1.01315789473684,0.88,NA,Inf,0.820652173913043,NA,1.16666666666667,1,1.6,1.85106382978723,1,1.36448598130841,1,NA,2.57142857142857,1,0.857142857142857,1.21875,1,0.8,1.18256130790191,1.43722943722944,1.09433962264151
"29",29,"11U",666317,5502274,-114.695891070504,49.650067311557,1385,"Ptilium crista-castrensis",19,11,NA,"y",6832,12954.22,13696.9326245397,33971.9545890179,27928.9363,"139.62535907176701","171.19356212201501","156.31074379558001",0.125,1.5,0.666666666666667,1.06451612903226,0.166666666666667,1.12571428571429,0.833333333333333,0.705882352941176,0.855072463768116,0.728571428571429,0.691897654584222,0.975384615384615,0.68075117370892,2.48809523809524,0.796875,0.753731343283582,0.70253164556962,1.21428571428571,0.833333333333333,1.36486486486486,NA,1.42105263157895,0.695887445887446,0.75,1.1980198019802,1.04990403071017,0.170731707317073,NA,0.77,0.940789473684211,1.00328947368421,1.03,NA,Inf,4.19836956521739,NA,1,0.8,1.15,1.53191489361702,0.5,1.02102803738318,0.75,NA,1.31428571428571,0.5,1.0952380952381,1.3125,0.97289156626506,1.13333333333333,0.85558583106267,1.46103896103896,0.886792452830189
"31",31,"11U",672533,5505125,-114.60859786409,49.6739435203283,1479,"Pleurozium schreberi",20,15,NA,"y",11877,16132.62,17041.0536980034,32976.1130553493,28833.7841,"117.108166335259","159.59129616358399","142.591227088305",0.0833333333333333,0.8,0.5,0.548387096774194,0,0.905714285714286,0.666666666666667,0.764705882352941,0.652173913043478,0.396825396825397,0.551172707889126,0.655384615384615,0.643192488262911,0.785714285714286,0.6,0.552238805970149,0.563291139240506,0.785714285714286,0.5,1.18918918918919,NA,1,0.547619047619048,0.5,1,0.90595009596929,0.0548780487804878,NA,0.58,1.05263157894737,0.625,0.74,NA,Inf,2.47826086956522,NA,1,0.5,1,1.56382978723404,0.6,1.93457943925234,0.5,NA,0.8,0.5,0.619047619047619,0.78125,0.620481927710843,0.133333333333333,0.615803814713896,1.22077922077922,0.528301886792453
"32",32,"11U",680610,5514298,-114.492513657064,49.7540061426561,1699,"Hylocomium splendins",21,24,NA,"y",19655,22639.25,23538.2927485659,29611.374162632,29383.377,"87.151892978982701","137.91773582523101","118.37669528725399",0.166666666666667,1,0.833333333333333,1.06451612903226,3,1.33428571428571,1,0.529411764705882,0.840579710144927,0.304761904761905,0.681236673773987,0.978461538461538,0.826291079812207,0.976190476190476,0.878125,0.940298507462687,0.822784810126582,0.642857142857143,1,0.837837837837838,NA,0.973684210526316,0.701298701298701,1,1.42574257425743,0.710172744721689,0.23780487804878,NA,0.8,0.947368421052632,0.881578947368421,0.63,NA,NA,0.858695652173913,NA,1,0.5,1.5,1.36170212765957,0.4,1.56542056074766,0.5,NA,1.74285714285714,0.5,0.523809523809524,1.125,1.01807228915663,0.2,0.885558583106267,0.584415584415584,0.773584905660377
"33",33,"11U",640386,5487813,-115.060057852829,49.5266600712369,1053,"Hylocomium splendins",22,42,NA,"y",26424,30170.85,29797.5974250575,51775.4247250686,42098.7678,"215.89319017379299","204.11115039634501","201.04138263330901",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,NA,NA,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1
